"","ID","iso3","alloc_key","cell5m","x","y","bean, common","cacao","cassava","chick pea","coconut","coffee arabica","coffee robusta","cowpea","groundnut","lentil","maize","pearl millet","pigeon pea","plantain bananas","potato","sesame seed","sorghum (med. altitude)","soyabean","sugar beet","sunflower","sweet potato","tea","tobacco","wheat, common"
"723",723,"KEN","10762587",4646586,35.5416666658,0.3749999996,0.849333345890045,0,0.334000021219254,0.64615386724472,0,0.0972222238779068,0,0.428999990224838,0.278333336114883,0.861538469791412,0.58050000667572,0.20338462293148,0.491999983787537,0,0.792500019073486,0.428999990224838,0.306428581476212,0.275000005960464,0.379310339689255,0.64615386724472,0,0,0.488888889551163,0.675324678421021
"724",724,"KEN","10762588",4646587,35.6249999991,0.3749999996,1,0,0.490740746259689,0.738461554050446,0.15384615957737,0.0138888889923692,0,0.748399913311005,0.433962255716324,0.953846156597137,0.973249912261963,0.445076882839203,0.900999903678894,0,0.932203412055969,0.778599917888641,0.534571349620819,0.425000011920929,0.206896558403969,0.738461554050446,0.09375,0,0.622222244739532,0.75324672460556
"725",725,"KEN","10762589",4646588,35.7083333325,0.3749999996,1,0,0.0925925895571709,0.307692319154739,0,0,0,0.190476194024086,0,0.523076951503754,0.896551728248596,0.390625,1,0,0.45762711763382,0.5625,0.856857180595398,0,0,0.307692319154739,0,0,0,0.389610379934311
"726",726,"KEN","10762590",4646589,35.7916666658,0.3749999996,1,0,0.398148149251938,0.6307692527771,0,0,0,0.690476179122925,0.301886796951294,0.846153855323792,1,0.534153878688812,1,0,0.813559293746948,0.857142865657806,0.620142877101898,0.25,0.103448279201984,0.6307692527771,0,0,0.466666668653488,0.66233766078949
"727",727,"KEN","10762593",4646592,36.0416666658,0.3749999996,0.653846144676208,0,0,0,0,0,0,0,0,0.200000002980232,0.241379305720329,0.09375,0.259259253740311,0,0.101694911718369,0.151785716414452,0.451612889766693,0,0,0,0,0,0,0.116883113980293
"728",728,"KEN","10762596",4646595,36.2916666658,0.3749999996,1,0,0,0.384615391492844,0,0,0,0.309523820877075,0,0.600000023841858,0.887500047683716,0.392307728528976,0.812999963760376,0,0.54237288236618,0.508928596973419,0.464571416378021,0,0,0.384615391492844,0,0,0.111111111938953,0.454545468091965
"729",729,"KEN","10762597",4646596,36.3749999991,0.3749999996,0.782051265239716,0,0,0.15384615957737,0,0,0,0,0,0.369230777025223,0.551724135875702,0.234375,0.666666686534882,0,0.288135588169098,0.241071432828903,0.40257140994072,0,0,0.15384615957737,0,0,0,0.259740263223648
"730",730,"KEN","10762598",4646597,36.4583333325,0.3749999996,0.67948716878891,0,0,0.15384615957737,0,0,0,0,0,0.369230777025223,0.551724135875702,0.234375,0.666666686534882,0,0.288135588169098,0.169642850756645,0.463142812252045,0,0,0.15384615957737,0,0,0,0.259740263223648
"731",731,"KEN","10762600",4646599,36.6249999991,0.3749999996,0.461538463830948,0,0,0,0,0,0,0,0,0.107692308723927,0,0,0.0370370373129845,0,0,0.0178571436554193,0.25806450843811,0,0,0,0,0,0,0.0389610379934311
"732",732,"KEN","10762610",4646609,37.4583333325,0.3749999996,0.897435903549194,0,0,0,0,0,0,0,0,0.246153846383095,0.482758611440659,0.203125,0,0,0,0.321428567171097,0,0,0,0.0307692307978868,0,0,0,0
"733",733,"KEN","10762611",4646610,37.5416666658,0.3749999996,0.948717951774597,0,0,0,0,0,0,0,0,0.253846168518066,0.431034475564957,0.1796875,0,0,0,0.357142865657806,0,0,0,0.0384615398943424,0,0,0,0
"734",734,"KEN","10762612",4646611,37.6249999991,0.3749999996,0.871794879436493,0,0,0,0,0,0,0,0,0.0846153870224953,0.224137932062149,0.0859375,0,0,0,0.303571432828903,0,0,0,0,0,0,0,0
"735",735,"KEN","10762613",4646612,37.7083333325,0.3749999996,1,0,0,0,0,0,0,0,0,0.138461545109749,0.327586203813553,0.1328125,0,0,0,0.428571432828903,0,0,0,0,0,0,0,0
"736",736,"KEN","10762614",4646613,37.7916666658,0.3749999996,1,0,0,0,0,0,0,0.440476179122925,0,0.469230771064758,0.482142865657806,0.5546875,0,0,0,0.839285731315613,0,0,0,0.253846168518066,0,0,0,0
"737",737,"KEN","10762615",4646614,37.8749999991,0.3749999996,1,0,0,0,0,0,0,0.904761910438538,0,0.561538457870483,0.0982142835855484,0.668615341186523,0,0,0,0.930894315242767,0,0,0,0.346153855323792,0,0,0.0555555559694767,0
"738",738,"KEN","10762616",4646615,37.9583333325,0.3749999996,0.910034596920013,0,0,0.060606062412262,0,0,0,0.807803452014923,0,0.347150266170502,0,0.537538528442383,0.277777791023254,0,0.203389823436737,0.390243887901306,0.124338626861572,0.1875,0,0,0,0,0.411111116409302,0
"739",739,"KEN","10762617",4646616,38.0416666658,0.3749999996,1,0,0,0,0,0,0,0.940751433372498,0,0.585492253303528,0,0.620923101902008,0,0,0,0.78861790895462,0.0645161271095276,0,0,0.400966197252274,0,0,0.222222223877907,0
"740",740,"KEN","10762618",4646617,38.1249999991,0.3749999996,0.846153855323792,0,0,0,0,0,0,0,0,0.00769230769947171,0.155172407627106,0.0546875,0,0,0,0.28571429848671,0,0,0,0,0,0,0,0
"741",741,"KEN","10762619",4646618,38.2083333325,0.3749999996,0.179487183690071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"742",742,"KEN","10762621",4646620,38.3749999991,0.3749999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"743",743,"KEN","10762622",4646621,38.4583333325,0.3749999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"744",744,"KEN","10762625",4646624,38.7083333325,0.3749999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"745",745,"KEN","10762626",4646625,38.7916666658,0.3749999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
